"city","state","latitude","longitude"
"Adamsville","AL",33.59,-86.96
"Adger","AL",33.45,-87.24
"Bessemer","AL",33.41,-86.95
"Bessemer","AL",33.35,-86.95
"Bessemer","AL",33.44,-87.02
"Dolomite","AL",33.46,-86.96
"Dora","AL",33.73,-87.04
"Empire","AL",33.81,-87
"Fairfield","AL",33.48,-86.92
"Fultondale","AL",33.61,-86.82
"Gardendale","AL",33.68,-86.82
"Graysville","AL",33.64,-86.97
"Hayden","AL",33.92,-86.76
"Kimberly","AL",33.77,-86.81
"Leeds","AL",33.53,-86.56
"McCalla","AL",33.28,-87.1
"Morris","AL",33.74,-86.79
"Mount Olive","AL",33.67,-86.87
"Mulga","AL",33.53,-87.02
"Pinson","AL",33.73,-86.66
"Pleasant Grove","AL",33.49,-86.97
"Quinton","AL",33.64,-87.12
"Springville","AL",33.78,-86.45
"Sumiton","AL",33.75,-87.05
"Trafford","AL",33.82,-86.72
"Trussville","AL",33.62,-86.59
"Warrior","AL",33.82,-86.82
"Birmingham","AL",33.52,-86.81
"Birmingham","AL",33.52,-86.84
"Birmingham","AL",33.5,-86.81
"Birmingham","AL",33.57,-86.72
"Birmingham","AL",33.56,-86.82
"Birmingham","AL",33.49,-86.88
"Birmingham","AL",33.47,-86.81
"Birmingham","AL",33.55,-86.67
"Birmingham","AL",33.48,-86.86
"Birmingham","AL",33.54,-86.75
"Birmingham","AL",33.51,-86.74
"Birmingham","AL",33.56,-86.89
"Birmingham","AL",33.64,-86.7
"Birmingham","AL",33.42,-86.78
"Birmingham","AL",33.59,-86.77
"Birmingham","AL",33.51,-86.9
"Birmingham","AL",33.45,-86.9
"Birmingham","AL",33.52,-86.77
"Birmingham","AL",33.49,-86.73
"Birmingham","AL",33.52,-86.93
"Birmingham","AL",33.41,-86.83
"Birmingham","AL",33.45,-86.92
"Birmingham","AL",33.51,-86.8
"Birmingham","AL",33.54,-86.81
"Birmingham","AL",33.61,-86.66
"Birmingham","AL",33.41,-86.7
"Birmingham","AL",33.44,-86.75
"Birmingham","AL",33.36,-86.82
"Brookwood","AL",33.28,-87.31
"Phoenix","AZ",33.45,-112.08
"Phoenix","AZ",33.45,-112.07
"Phoenix","AZ",33.47,-112.05
"Phoenix","AZ",33.45,-112.09
"Phoenix","AZ",33.47,-112
"Phoenix","AZ",33.46,-112.12
"Phoenix","AZ",33.51,-112.07
"Phoenix","AZ",33.51,-112.08
"Phoenix","AZ",33.51,-112.06
"Phoenix","AZ",33.51,-112.1
"Phoenix","AZ",33.5,-112.03
"Phoenix","AZ",33.51,-112.12
"Phoenix","AZ",33.5,-111.99
"Phoenix","AZ",33.51,-112.14
"Phoenix","AZ",33.56,-112.06
"Phoenix","AZ",33.56,-112.09
"Phoenix","AZ",33.63,-112.05
"Phoenix","AZ",33.64,-112.09
"Phoenix","AZ",33.68,-112.05
"Phoenix","AZ",33.42,-111.72
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.7,-112.11
"Phoenix","AZ",33.59,-112.01
"Phoenix","AZ",33.6,-112.12
"Phoenix","AZ",33.49,-112.17
"Phoenix","AZ",33.62,-112
"Phoenix","AZ",33.5,-112.21
"Phoenix","AZ",33.44,-112.03
"Phoenix","AZ",33.47,-112.19
"Phoenix","AZ",33.49,-112.26
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.39,-112.03
"Phoenix","AZ",33.39,-112.1
"Phoenix","AZ",33.38,-112.03
"Phoenix","AZ",33.44,-112.2
"Phoenix","AZ",33.33,-111.99
"Phoenix","AZ",33.3,-112.1
"Phoenix","AZ",33.3,-112.02
"Phoenix","AZ",33.68,-111.99
"Phoenix","AZ",33.56,-112.13
"Phoenix","AZ",33.63,-112.13
"Phoenix","AZ",33.69,-111.96
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.78,-112.08
"Anthem","AZ",33.83,-112.06
"New River","AZ",33.92,-112.1
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.28,-112.19
"Phoenix","AZ",33.28,-112.19
"Mesa","AZ",33.43,-111.76
"Mesa","AZ",33.43,-111.76
"Mesa","AZ",33.43,-111.76
"Mesa","AZ",33.43,-111.85
"Mesa","AZ",33.38,-111.88
"Mesa","AZ",33.44,-111.81
"Mesa","AZ",33.4,-111.79
"Mesa","AZ",33.43,-111.72
"Mesa","AZ",33.4,-111.72
"Mesa","AZ",33.44,-111.64
"Mesa","AZ",33.39,-111.64
"Mesa","AZ",33.39,-111.64
"Mesa","AZ",33.39,-111.84
"Mesa","AZ",33.35,-111.65
"Mesa","AZ",33.43,-111.77
"Mesa","AZ",33.48,-111.69
"Chandler","AZ",33.33,-111.87
"Chandler","AZ",33.32,-111.83
"Chandler","AZ",33.31,-111.93
"Gilbert","AZ",33.35,-111.81
"Gilbert","AZ",33.36,-111.75
"Higley","AZ",33.31,-111.71
"Queen Creek","AZ",33.23,-111.61
"Chandler","AZ",33.24,-111.86
"Chandler","AZ",33.24,-111.8
"Scottsdale","AZ",33.52,-111.91
"Scottsdale","AZ",33.49,-111.92
"Paradise Valley","AZ",33.54,-111.96
"Scottsdale","AZ",33.62,-111.95
"Scottsdale","AZ",33.7,-111.88
"Scottsdale","AZ",33.49,-111.84
"Scottsdale","AZ",33.47,-111.92
"Scottsdale","AZ",33.57,-111.89
"Scottsdale","AZ",33.6,-111.83
"Scottsdale","AZ",33.61,-111.89
"Scottsdale","AZ",33.8,-111.87
"Rio Verde","AZ",33.72,-111.68
"Fort Mcdowell","AZ",33.62,-111.68
"Scottsdale","AZ",33.28,-112.19
"Fountain Hills","AZ",33.6,-111.73
"Tempe","AZ",33.43,-111.93
"Tempe","AZ",33.39,-111.93
"Tempe","AZ",33.37,-111.93
"Tempe","AZ",33.34,-111.93
"New River","AZ",33.85,-112.06
"Winkelman","AZ",32.95,-110.72
"Gilbert","AZ",33.32,-111.76
"Gilbert","AZ",33.27,-111.71
"Gilbert","AZ",33.27,-111.71
"Glendale","AZ",33.53,-112.18
"Glendale","AZ",33.57,-112.18
"Glendale","AZ",33.53,-112.22
"Glendale","AZ",33.59,-112.18
"Glendale","AZ",33.53,-112.25
"Glendale","AZ",33.62,-112.18
"Glendale","AZ",33.53,-112.31
"Glendale","AZ",33.66,-112.18
"Luke AFB","AZ",33.53,-112.38
"Glendale","AZ",33.7,-112.18
"Arlington","AZ",33.27,-112.79
"Avondale","AZ",33.45,-112.32
"Buckeye","AZ",33.35,-112.57
"Cave Creek","AZ",33.79,-111.96
"El Mirage","AZ",33.6,-112.32
"Gila Bend","AZ",32.97,-112.79
"Goodyear","AZ",33.43,-112.38
"Laveen","AZ",33.35,-112.17
"Litchfield Park","AZ",33.51,-112.41
"Morristown","AZ",33.94,-112.5
"Palo Verde","AZ",33.28,-112.19
"Peoria","AZ",33.57,-112.24
"Sun City","AZ",33.61,-112.28
"Tolleson","AZ",33.43,-112.28
"Tonopah","AZ",33.45,-113.02
"Waddell","AZ",33.57,-112.45
"Wittmann","AZ",33.74,-112.6
"Youngtown","AZ",33.59,-112.3
"Sun City","AZ",33.66,-112.29
"Surprise","AZ",33.64,-112.39
"Sun City West","AZ",33.68,-112.36
"Surprise","AZ",33.28,-112.19
"Surprise","AZ",33.62,-112.4
"Peoria","AZ",33.61,-112.23
"Peoria","AZ",33.69,-112.25
"Peoria","AZ",33.7,-112.24
"Surprise","AZ",33.28,-112.19
"Surprise","AZ",33.28,-112.19
"Wickenburg","AZ",33.96,-112.77
"Wickenburg","AZ",33.96,-112.77
"Peoria","AZ",33.58,-112.25
"Peoria","AZ",33.58,-112.25
"Ajo","AZ",32.33,-112.79
"Benson","AZ",32.01,-110.32
"Elgin","AZ",31.59,-110.52
"Green Valley","AZ",31.86,-111.01
"Green Valley","AZ",31.85,-110.93
"Sahuarita","AZ",31.94,-110.98
"Sells","AZ",32,-111.94
"Sonoita","AZ",31.73,-110.67
"Vail","AZ",32,-110.67
"Amado","AZ",31.72,-111.1
"Marana","AZ",32.45,-111.26
"Douglas","AZ",31.88,-109.75
"Tucson","AZ",32.22,-110.97
"Tucson","AZ",32.33,-110.99
"Tucson","AZ",32.26,-110.99
"Tucson","AZ",32.13,-110.92
"Tucson","AZ",32.2,-110.89
"Tucson","AZ",32.21,-110.83
"Tucson","AZ",32.22,-110.89
"Tucson","AZ",32.25,-110.89
"Tucson","AZ",32.19,-110.98
"Tucson","AZ",32.17,-110.96
"Tucson","AZ",32.25,-110.83
"Tucson","AZ",32.24,-110.93
"Tucson","AZ",32.31,-110.92
"Tucson","AZ",32.24,-110.95
"Tucson","AZ",32.18,-110.81
"Tucson","AZ",32.14,-111.24
"Tucson","AZ",31.98,-111.29
"Tucson","AZ",32.42,-110.96
"Tucson","AZ",32.52,-110.91
"Tucson","AZ",32.34,-111.04
"Tucson","AZ",32.39,-111.06
"Tucson","AZ",32.34,-111.15
"Tucson","AZ",32.24,-111.02
"Tucson","AZ",32.13,-111.05
"Tucson","AZ",32.11,-110.78
"Tucson","AZ",32.22,-110.77
"Tucson","AZ",32.3,-110.74
"Tucson","AZ",32.29,-110.84
"Tucson","AZ",31.97,-111.89
"Tucson","AZ",31.97,-111.89
"Tucson","AZ",31.97,-111.89
"Alameda","CA",37.77,-122.26
"Alameda","CA",37.73,-122.24
"American Canyon","CA",38.17,-122.26
"Byron","CA",37.85,-121.61
"Fremont","CA",37.56,-121.99
"Fremont","CA",37.53,-121.97
"Fremont","CA",37.52,-121.93
"Hayward","CA",37.67,-122.09
"Hayward","CA",37.66,-122.05
"Hayward","CA",37.63,-122.06
"Hayward","CA",37.64,-122.1
"Castro Valley","CA",37.7,-122.08
"Livermore","CA",37.66,-121.73
"Livermore","CA",37.68,-121.92
"Castro Valley","CA",37.7,-122.03
"Fremont","CA",37.57,-122.05
"Newark","CA",37.54,-122.03
"Pleasanton","CA",37.66,-121.87
"Dublin","CA",37.71,-121.93
"San Leandro","CA",37.72,-122.16
"San Leandro","CA",37.7,-122.13
"San Leandro","CA",37.69,-122.15
"San Lorenzo","CA",37.68,-122.13
"Sunol","CA",37.59,-121.88
"Union City","CA",37.59,-122.05
"Pleasanton","CA",37.69,-121.89
"Oakland","CA",37.78,-122.22
"Oakland","CA",37.8,-122.21
"Oakland","CA",37.74,-122.17
"Oakland","CA",37.76,-122.16
"Oakland","CA",37.79,-122.24
"Oakland","CA",37.81,-122.29
"Emeryville","CA",37.83,-122.28
"Oakland","CA",37.83,-122.26
"Oakland","CA",37.81,-122.24
"Oakland","CA",37.83,-122.22
"Oakland","CA",37.81,-122.27
"Oakland","CA",37.81,-122.3
"Oakland","CA",37.81,-122.27
"Oakland","CA",37.84,-122.24
"Oakland","CA",37.79,-122.19
"Oakland","CA",37.75,-122.19
"Berkeley","CA",37.87,-122.29
"Berkeley","CA",37.86,-122.28
"Berkeley","CA",37.87,-122.26
"Berkeley","CA",37.86,-122.25
"Albany","CA",37.89,-122.29
"Berkeley","CA",37.89,-122.28
"Berkeley","CA",37.89,-122.26
"Berkeley","CA",37.88,-122.27
"Berkeley","CA",37.87,-122.3
"Tracy","CA",37.72,-121.45
"Riverbank","CA",37.6,-120.94
"Coalinga","CA",36.19,-120.31
"Huron","CA",36.21,-120.08
"Laton","CA",36.43,-119.72
"Lemoore","CA",36.31,-119.8
"Auberry","CA",37.08,-119.43
"Cantua Creek","CA",36.52,-120.38
"Caruthers","CA",36.53,-119.84
"Clovis","CA",36.84,-119.66
"Clovis","CA",36.81,-119.71
"Del Rey","CA",36.66,-119.59
"Dinuba","CA",36.54,-119.39
"Dinuba","CA",36.54,-119.39
"Dos Palos","CA",37.03,-120.64
"Dunlap","CA",36.77,-119.14
"Firebaugh","CA",36.8,-120.58
"Fowler","CA",36.63,-119.68
"Friant","CA",37.02,-119.68
"Hume","CA",36.78,-118.92
"Kerman","CA",36.72,-120.1
"Kingsburg","CA",36.51,-119.55
